Question_Number,Question,Prediction_Number,F1_Score
10,What does it mean: The human is a social animal.,3,0.09090909090909091
10,What does it mean: The human is a social animal.,4,0.0
11,What does it mean: The self-actualizing person is one who is fulfilled and doing all he or she is capable of.,1,0.782608695652174
11,What does it mean: The self-actualizing person is one who is fulfilled and doing all he or she is capable of.,2,0.1818181818181818
11,What does it mean: The self-actualizing person is one who is fulfilled and doing all he or she is capable of.,3,0.0
11,What does it mean: The self-actualizing person is one who is fulfilled and doing all he or she is capable of.,4,0.0
12,What does it mean: Behavior is a function of its consequences.,1,0.6046511627906976
12,What does it mean: Behavior is a function of its consequences.,2,0.33333333333333337
12,What does it mean: Behavior is a function of its consequences.,3,0.15384615384615385
12,What does it mean: Behavior is a function of its consequences.,4,0.0
13,"What does it mean: The self is not something ready-made, but something in continuous formation through choice of action.",1,0.7755102040816326
13,"What does it mean: The self is not something ready-made, but something in continuous formation through choice of action.",2,0.0
13,"What does it mean: The self is not something ready-made, but something in continuous formation through choice of action.",3,0.0
13,"What does it mean: The self is not something ready-made, but something in continuous formation through choice of action.",4,0.0
14,"What does it mean: We do not escape into philosophy, psychology, and art; we go there to restore our shattered selves into whole ones.",1,0.3846153846153846
14,"What does it mean: We do not escape into philosophy, psychology, and art; we go there to restore our shattered selves into whole ones.",2,0.043478260869565216
14,"What does it mean: We do not escape into philosophy, psychology, and art; we go there to restore our shattered selves into whole ones.",3,0.0
14,"What does it mean: We do not escape into philosophy, psychology, and art; we go there to restore our shattered selves into whole ones.",4,0.0
15,What does it mean: All organisms behave in accordance with the law of effect.,1,0.4
15,What does it mean: All organisms behave in accordance with the law of effect.,2,0.5
15,What does it mean: All organisms behave in accordance with the law of effect.,3,0.07142857142857142
15,What does it mean: All organisms behave in accordance with the law of effect.,4,0.0
16,"What does it mean: Man is not to be found within himself, but rather in his interactions with the world.",1,0.2857142857142857
16,"What does it mean: Man is not to be found within himself, but rather in his interactions with the world.",2,0.36363636363636365
16,"What does it mean: Man is not to be found within himself, but rather in his interactions with the world.",3,0.0
16,"What does it mean: Man is not to be found within himself, but rather in his interactions with the world.",4,0.0
17,"What does it mean: We are all controlled by the world in which we live, and part of that world has been and will be constructed by men.",1,0.3157894736842105
17,"What does it mean: We are all controlled by the world in which we live, and part of that world has been and will be constructed by men.",2,0.15384615384615385
17,"What does it mean: We are all controlled by the world in which we live, and part of that world has been and will be constructed by men.",3,0.0
17,"What does it mean: We are all controlled by the world in which we live, and part of that world has been and will be constructed by men.",4,0.0
18,What does it mean: It is not the environment that shapes us so much as our behavior that shapes the environment.,1,0.6153846153846153
18,What does it mean: It is not the environment that shapes us so much as our behavior that shapes the environment.,2,0.5
18,What does it mean: It is not the environment that shapes us so much as our behavior that shapes the environment.,3,0.0
18,What does it mean: It is not the environment that shapes us so much as our behavior that shapes the environment.,4,0.0
19,What does it mean: Freedom is living without escape.,1,0.5
19,What does it mean: Freedom is living without escape.,2,0.2580645161290322
19,What does it mean: Freedom is living without escape.,3,0.10526315789473684
19,What does it mean: Freedom is living without escape.,4,0.17391304347826086
